date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-06-01 23:59:32+00:00,1532149880558276608,@kdnerak33 I did. I  was told by Amber Herd that this sets the clock back to time where women who speak up are shamed and silenced. Sooooo,https://twitter.com/MrFixItLiberty/status/1532149880558276608,@kdnerak33 I did. I  was told by Amber Herd that this sets the clock back to time where women who speak up are shamed and silenced. Sooooo,MrFixItLiberty,72,0,0,1,0,en,1532091639283470337,,,,,1.5320916392834703e+18,https://twitter.com/kdnerak33,"[User(username='kdnerak33', id=1683622159, displayname='KD 📚🌎🌊🇺🇸🌻', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='kdnerak33', id=1683622159, displayname='KD 📚🌎🌊🇺🇸🌻', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.07026628
2022-06-01 23:59:31+00:00,1532149877735563266,@Eliecer_Cherigo Fue amante de Amber,https://twitter.com/EvyK20/status/1532149877735563266,@Eliecer_Cherigo Fue amante de Amber,EvyK20,1011,0,0,1,0,es,1532144686541979648,,,,,1.5321446865419796e+18,https://twitter.com/Eliecer_Cherigo,"[User(username='Eliecer_Cherigo', id=105506983, displayname='Dr. Eliecer Chérigo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Eliecer_Cherigo', id=105506983, displayname='Dr. Eliecer Chérigo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,1,0.9984585
2022-06-01 23:59:30+00:00,1532149872073252866,This is the funniest Amber heard &amp; Johnny depp meme on tiktok😂😭 https://t.co/lmqyKLWJAG,https://twitter.com/Tiquanniq/status/1532149872073252866,This is the funniest Amber heard &amp; Johnny depp meme on tiktok😂😭 https://t.co/lmqyKLWJAG,Tiquanniq,177,1,0,2,0,en,1532149872073252866,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1532149818977558529/pu/img/p0QErZDmtElkjkQY.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1532149818977558529/pu/vid/1238x720/ymg56rrvMSgrYf2U.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1532149818977558529/pu/pl/wvVOU7BTyz-VoHaO.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1532149818977558529/pu/vid/618x360/8aH_Yh6UE6lu1fUM.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1532149818977558529/pu/vid/464x270/QmLlWSok-b1wyEsh.mp4?tag=12', bitrate=256000)], duration=27.451, views=90)]",,,,,,,,,,,,,Twitter for iPhone,0,0,0.00039499998
2022-06-01 23:59:07+00:00,1532149778385084417,@realamberheard You not,https://twitter.com/AnaR0drigues22/status/1532149778385084417,@realamberheard You not,AnaR0drigues22,37314,0,0,12,0,en,1047582190769463296,,,,,1.0475821907694632e+18,https://twitter.com/realamberheard,"[User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.0013117194
2022-06-01 23:59:07+00:00,1532149776107458560,"โอเค ป๋าชนะแล้ว ไม่เหนื่อยแล้วนะ พวกเราอะ ไม่เหนื่อยตามแล้วนะ 55555 ดีใจกับนาง

Johnny Depp’s Rapid Reaction to Major Win Against Amber Heard https://t.co/ZaosNUp3US via @YouTube",https://twitter.com/skvv91/status/1532149776107458560,"โอเค ป๋าชนะแล้ว ไม่เหนื่อยแล้วนะ พวกเราอะ ไม่เหนื่อยตามแล้วนะ 55555 ดีใจกับนาง

Johnny Depp’s Rapid Reaction to Major Win Against Amber Heard youtu.be/MwjdeqlyiNE via @YouTube",skvv91,72,0,0,0,0,und,1532149776107458560,['https://youtu.be/MwjdeqlyiNE'],,,,,,"[User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",['https://youtu.be/MwjdeqlyiNE'],['https://t.co/ZaosNUp3US'],Twitter for iPhone,0,0,0.005434394
2022-06-01 23:59:06+00:00,1532149771019984897,@realamberheard The justice is also for the men. All the world now know the truth. You must be respet the law and be honest with yourself.,https://twitter.com/SR44997022/status/1532149771019984897,@realamberheard The justice is also for the men. All the world now know the truth. You must be respet the law and be honest with yourself.,SR44997022,1,0,0,0,0,en,1532149771019984897,,,,,,,"[User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,0,1,0.9542422
2022-06-01 23:59:05+00:00,1532149767156948993,"@AlbaneGaillot C’est même plus de la subjectivité la, mais de la mauvaise foi. Le procès ne s’est pas fait en 24h.Vous auriez bien + de crédibilité en pointant du doigt les mensonges et manipulations d’Amber Heard plutôt que de défendre l’indéfendable. C’est aussi ça MeToo",https://twitter.com/Kastolo9/status/1532149767156948993,"@AlbaneGaillot C’est même plus de la subjectivité la, mais de la mauvaise foi. Le procès ne s’est pas fait en 24h.Vous auriez bien + de crédibilité en pointant du doigt les mensonges et manipulations d’Amber Heard plutôt que de défendre l’indéfendable. C’est aussi ça MeToo",Kastolo9,311,0,0,41,0,fr,1532103889708892163,,,,,1.5321038897088922e+18,https://twitter.com/AlbaneGaillot,"[User(username='AlbaneGaillot', id=315284579, displayname='Albane Gaillot', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='AlbaneGaillot', id=315284579, displayname='Albane Gaillot', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.0024873614
2022-06-01 23:59:03+00:00,1532149761326956544,"@VICENews There’s a big difference in saying something 
And doing something 
And the jury heard amber 
admitting to starting physical fights 
And to hitting Johnny!

And What kind of organisation thinks 
a vile text message is worse than actually physically abusing someone
Shame on you🤦‍♂️",https://twitter.com/Willow7712/status/1532149761326956544,"@VICENews There’s a big difference in saying something 
And doing something 
And the jury heard amber 
admitting to starting physical fights 
And to hitting Johnny!

And What kind of organisation thinks 
a vile text message is worse than actually physically abusing someone
Shame on you🤦‍♂️",Willow7712,1,0,0,0,0,en,1532081794752860160,,,,,1.5320817947528602e+18,https://twitter.com/VICENews,"[User(username='VICENews', id=1630896181, displayname='VICE News', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='VICENews', id=1630896181, displayname='VICE News', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.012027174
2022-06-01 23:59:03+00:00,1532149761138167808,@onosowobo Like Amber send you,https://twitter.com/Wales539/status/1532149761138167808,@onosowobo Like Amber send you,Wales539,70,0,0,0,0,en,1532086183173541889,,,,,1.532086183173542e+18,https://twitter.com/onosowobo,"[User(username='onosowobo', id=1922875165, displayname='Dami', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='onosowobo', id=1922875165, displayname='Dami', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.0017417669
2022-06-01 23:59:03+00:00,1532149761117134850,@DonnaDotPaella Tell me you didn’t watch any of the Johnny Depp / Amber Heard trial without telling me.,https://twitter.com/empirestatesun/status/1532149761117134850,@DonnaDotPaella Tell me you didn’t watch any of the Johnny Depp / Amber Heard trial without telling me.,empirestatesun,625,1,0,33,0,en,1532090519429472256,,,,,1.5320905194294725e+18,https://twitter.com/DonnaDotPaella,"[User(username='DonnaDotPaella', id=780444786, displayname='Donna', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='DonnaDotPaella', id=780444786, displayname='Donna', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,7.992152e-05
2022-06-01 23:59:03+00:00,1532149759779250176,@nycsouthpaw @ellewoodsgolfs If the jury found Amber's accusations to be defamatory and false then Depp calling it a hoax isn't defamatory but his attorney claiming that she and her friends staged  the scene when they called the police can still be defamatory. What about that do you not understand?,https://twitter.com/mudloops/status/1532149759779250176,@nycsouthpaw @ellewoodsgolfs If the jury found Amber's accusations to be defamatory and false then Depp calling it a hoax isn't defamatory but his attorney claiming that she and her friends staged  the scene when they called the police can still be defamatory. What about that do you not understand?,mudloops,12,1,0,1,0,en,1532080195670540289,,,,,1.5321481810935644e+18,https://twitter.com/nycsouthpaw,"[User(username='nycsouthpaw', id=22429979, displayname='southpaw', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ellewoodsgolfs', id=32559704, displayname='Jen 🇺🇸✊🇺🇦', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='nycsouthpaw', id=22429979, displayname='southpaw', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ellewoodsgolfs', id=32559704, displayname='Jen 🇺🇸✊🇺🇦', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,0,0,0.0015240014
2022-06-01 23:59:03+00:00,1532149759032500225,"@ContraPoints She represented domestic abuse, but I don’t think it’s in the way you’ve been implying...
I sided with Amber initially by default, but after watching hours and hours of (admittedly awful) court footage, I have changed my opinion, based on the evidence presented (&amp; not presented).",https://twitter.com/emmarosehurt/status/1532149759032500225,"@ContraPoints She represented domestic abuse, but I don’t think it’s in the way you’ve been implying...
I sided with Amber initially by default, but after watching hours and hours of (admittedly awful) court footage, I have changed my opinion, based on the evidence presented (&amp; not presented).",emmarosehurt,63,1,0,7,0,en,1532092246706774021,,,,,1.532092246706774e+18,https://twitter.com/ContraPoints,"[User(username='ContraPoints', id=27938182, displayname='Natalie Wynn', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='ContraPoints', id=27938182, displayname='Natalie Wynn', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.112273484
2022-06-01 23:59:03+00:00,1532149758764146689,I think Amber Heard and Jada Pinkett Smith would make awesome roommates.,https://twitter.com/bostonwriter/status/1532149758764146689,I think Amber Heard and Jada Pinkett Smith would make awesome roommates.,bostonwriter,5284,2,3,29,3,en,1532149758764146689,,,,,,,,,,,,,,,Twitter Web App,0,1,0.97566795
2022-06-01 23:59:02+00:00,1532149755274575874,@chastainxd é no post da amber mulher né nao,https://twitter.com/ladyonfirer/status/1532149755274575874,@chastainxd é no post da amber mulher né nao,ladyonfirer,2723,2,0,0,0,pt,1532149337664413696,,,,,1.5321493376644137e+18,https://twitter.com/chastainxd,"[User(username='chastainxd', id=1487236677861060611, displayname='ana | vnessakrby', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='chastainxd', id=1487236677861060611, displayname='ana | vnessakrby', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.112779796
2022-06-01 23:59:01+00:00,1532149753223561221,"People want Johnny Depp to be a domestic abuser, but not Amber to be one... do you realise that they both are?",https://twitter.com/MercedesMalina/status/1532149753223561221,"People want Johnny Depp to be a domestic abuser, but not Amber to be one... do you realise that they both are?",MercedesMalina,125,0,0,0,0,en,1532149753223561221,,,,,,,,,,,,,,,Twitter for iPhone,0,0,0.00011036567
